,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,SMA5,SMA20,Buy,Sell,Buy_ind,Sell_ind
597,HDFCBANK,EQ,2018-04-11,1920.85,1915.9,1920.0,1905.4,       1918.00,1918.85,1913.82,717703,1373553935.9,64684,382502,53.3,1886.3525000000002,1878.025499999998,1,0,0,0
599,HDFCBANK,EQ,2018-04-12,1918.85,1916.0,1932.9,1905.9,       1925.00,1928.8,1920.27,1178129,2262325817.35,26955,476496,40.45,1889.7800000000002,1879.3109999999976,1,0,0,0
601,HDFCBANK,EQ,2018-04-13,1928.8,1928.0,1940.0,1919.1,       1930.00,1925.0,1928.02,824293,1589255010.75,26003,394398,47.85,1892.8050000000003,1880.4839999999976,1,0,0,0
602,HDFCBANK,EQ,2018-04-16,1925.0,1920.0,1950.0,1919.85,       1943.50,1942.1,1938.89,711936,1380367127.0,21855,318462,44.73,1895.8700000000001,1881.6494999999977,1,0,0,0
603,HDFCBANK,EQ,2018-04-17,1942.1,1943.5,1951.0,1934.1,       1950.00,1948.5,1944.42,666958,1296845993.15,21401,354286,53.12,1900.645,1882.7529999999979,1,0,0,0
604,HDFCBANK,EQ,2018-04-18,1948.5,1951.0,1953.5,1930.05,       1934.00,1932.6,1942.91,678180,1317640648.7,21302,345977,51.02,1904.9125,1883.6164999999978,1,0,0,0
606,HDFCBANK,EQ,2018-04-19,1932.6,1940.0,1944.8,1933.0,       1939.00,1939.0,1938.07,792258,1535448277.65,36850,456501,57.62,1909.8875,1884.453999999998,1,0,0,0
607,HDFCBANK,EQ,2018-04-20,1939.0,1941.0,1961.0,1932.15,       1959.70,1955.9,1945.78,2340345,4553789223.35,70006,1792050,76.57,1914.7375,1885.584499999998,1,0,0,0
608,HDFCBANK,EQ,2018-04-23,1955.9,1979.0,1979.0,1860.3,       1939.50,1935.75,1947.51,3826155,7451481658.4,76106,1003096,26.22,1918.1375,1886.4279999999978,1,0,0,0
609,HDFCBANK,EQ,2018-04-24,1935.75,1935.0,1948.05,1926.0,       1934.10,1935.0,1935.57,1259354,2437572242.55,33400,466047,37.01,1922.81,1887.202499999998,1,0,0,0
610,HDFCBANK,EQ,2018-04-25,1935.0,1927.9,1938.0,1912.0,       1920.00,1920.75,1924.27,1005148,1934175516.3,42185,468604,46.62,1924.175,1887.756499999998,1,0,0,0
612,HDFCBANK,EQ,2018-04-26,1920.75,1916.8,1939.2,1911.25,       1926.10,1930.25,1930.42,1961870,3787241208.7,33677,907515,46.26,1926.0575000000001,1888.325999999998,1,0,0,0
613,HDFCBANK,EQ,2018-04-27,1930.25,1933.0,1935.5,1912.5,       1925.00,1923.4,1918.5,1444252,2770792412.6,47025,825792,57.18,1927.9225000000001,1889.0229999999979,1,0,0,0
615,HDFCBANK,EQ,2018-04-30,1923.4,1930.0,1954.8,1928.8,       1945.10,1944.3,1945.7,1152388,2242199201.2,32030,649513,56.36,1928.5775000000006,1889.9839999999976,1,0,0,0
616,HDFCBANK,EQ,2018-05-02,1944.3,1950.0,1978.0,1946.0,       1969.55,1969.5,1965.16,1775012,3488178418.55,62881,938108,52.85,1931.2575000000004,1891.3379999999975,1,0,0,0
617,HDFCBANK,EQ,2018-05-03,1969.5,1968.05,1974.9,1946.0,       1968.00,1967.9,1963.23,1038193,2038207486.9,30529,365265,35.18,1935.4900000000005,1892.8124999999973,1,0,0,0
618,HDFCBANK,EQ,2018-05-04,1967.9,1970.0,1990.0,1966.3,       1985.40,1988.5,1981.08,1720359,3408176310.05,33291,1084558,63.04,1939.4700000000005,1894.6644999999976,1,0,0,0
619,HDFCBANK,EQ,2018-05-07,1988.5,1981.65,1987.3,1975.0,       1977.50,1977.4,1980.88,1316032,2606904358.55,32517,781466,59.38,1942.1700000000005,1896.3419999999976,1,0,0,0
621,HDFCBANK,EQ,2018-05-08,1977.4,1979.25,1979.9,1954.6,       1966.50,1967.05,1964.31,1775141,3486935564.55,30036,1149021,64.73,1943.5700000000004,1897.6084999999975,1,0,0,0
623,HDFCBANK,EQ,2018-05-09,1967.05,1956.15,1980.5,1956.15,       1978.10,1978.4,1973.46,1081833,2134957238.8,30775,618193,57.14,1946.4475000000007,1898.9284999999975,1,0,0,0
625,HDFCBANK,EQ,2018-05-10,1978.4,1988.6,1999.0,1982.0,       1985.30,1992.7,1991.88,1792918,3571274019.0,41455,943387,52.62,1950.1400000000006,1900.6564999999975,1,0,0,0
626,HDFCBANK,EQ,2018-05-11,1992.7,1992.7,2017.0,1986.0,       2010.65,2011.75,1999.73,1514267,3028118877.9,49338,879712,58.09,1954.2875000000004,1902.5604999999975,1,0,0,0
628,HDFCBANK,EQ,2018-05-14,2011.75,2017.2,2027.4,2012.4,       2024.00,2021.75,2021.18,1185729,2396569105.7,35034,663572,55.96,1959.1250000000005,1904.3974999999978,1,0,0,0
630,HDFCBANK,EQ,2018-05-15,2021.75,2027.05,2065.0,2026.7,       2040.25,2037.8,2046.53,2456671,5027645858.0,52626,1289131,52.47,1963.9100000000005,1906.0409999999974,1,0,0,0
632,HDFCBANK,EQ,2018-05-16,2037.8,2030.55,2049.0,2017.15,       2027.50,2023.35,2031.04,1710401,3473886890.25,56061,1109107,64.84,1967.6525000000006,1907.4849999999974,1,0,0,0
634,HDFCBANK,EQ,2018-05-17,2023.35,2023.85,2044.45,2012.5,       2040.85,2027.75,2022.12,1653869,3344316980.15,28827,747275,45.18,1972.4100000000005,1908.9174999999973,1,0,0,0
635,HDFCBANK,EQ,2018-05-18,2027.75,2024.7,2024.7,2003.5,       2011.90,2012.15,2014.47,1304365,2627602348.9,47647,660982,50.67,1976.0675000000006,1910.3574999999973,1,0,0,0
637,HDFCBANK,EQ,2018-05-21,2012.15,2016.1,2021.0,1986.05,       1997.10,1993.05,1993.75,1212027,2416479609.35,37162,711864,58.73,1977.9250000000006,1911.6049999999973,1,0,0,0
