,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,range,Average,GT1400,DailyTrend,Calculated Column
73,HDFCBANK,EQ,2016-09-20,1290.15,1292.65,1295.0,1284.05,       1290.35,1288.45,1287.73,944562,1216338142.1,24113,602166,63.75,10.950000000000045,1290.5500000000002,0,Negative,1290.5500000000002
74,HDFCBANK,EQ,2016-09-21,1288.45,1292.0,1298.0,1287.9,       1292.20,1293.0,1292.9,1064100,1375773384.75,15081,736133,69.18,10.099999999999909,1292.5,0,Positive,1.0
75,HDFCBANK,EQ,2016-09-22,1293.0,1305.0,1316.95,1300.55,       1305.05,1306.9,1307.09,1638950,2142251822.1,28635,1088588,66.42,16.40000000000009,1305.95,0,Positive,1.900000000000091
76,HDFCBANK,EQ,2016-09-23,1306.9,1306.05,1318.45,1301.5,       1312.00,1312.7,1313.78,1219202,1601767722.1,17341,810532,66.48,16.950000000000045,1309.375,0,Positive,6.650000000000091
77,HDFCBANK,EQ,2016-09-26,1312.7,1306.1,1308.9,1293.7,       1299.00,1296.15,1299.36,1394193,1811552614.45,30025,927614,66.53,15.200000000000045,1301.125,0,Negative,1301.125
79,HDFCBANK,EQ,2016-09-27,1296.15,1299.0,1306.15,1294.85,       1300.00,1298.05,1300.13,1014203,1318598157.5,16739,633681,62.48,11.300000000000182,1298.525,0,Negative,1298.525
80,HDFCBANK,EQ,2016-09-28,1298.05,1299.9,1300.0,1289.0,       1295.90,1295.25,1293.9,1247413,1614023599.7,18159,891213,71.44,11.0,1297.575,0,Negative,1297.575
82,HDFCBANK,EQ,2016-09-29,1295.25,1297.95,1306.0,1267.95,       1274.65,1277.5,1286.23,4112503,5289632724.1,40928,2631309,63.98,38.049999999999955,1287.725,0,Negative,1287.725
83,HDFCBANK,EQ,2016-09-30,1277.5,1277.1,1281.0,1267.4,       1275.00,1272.85,1274.04,1034607,1318134256.25,17526,656138,63.42,13.599999999999909,1274.975,0,Negative,1274.975
85,HDFCBANK,EQ,2016-10-03,1272.85,1281.0,1289.9,1276.4,       1288.25,1287.2,1285.29,975137,1253337218.2,37847,646490,66.3,13.5,1284.1,0,Positive,6.2000000000000455
86,HDFCBANK,EQ,2016-10-04,1287.2,1288.6,1295.0,1282.3,       1291.00,1289.55,1287.73,693878,893528312.8,8760,379221,54.65,12.700000000000045,1289.0749999999998,0,Positive,0.9500000000000455
87,HDFCBANK,EQ,2016-10-05,1289.55,1298.0,1300.05,1276.4,       1285.85,1286.1,1282.96,911755,1169747378.55,10082,623996,68.44,23.649999999999864,1292.05,0,Negative,1292.05
88,HDFCBANK,EQ,2016-10-06,1286.1,1287.1,1295.6,1279.05,       1282.85,1281.95,1288.88,723928,933054994.75,16424,460882,63.66,16.549999999999955,1284.525,0,Negative,1284.525
89,HDFCBANK,EQ,2016-10-07,1281.95,1284.0,1287.75,1276.25,       1281.70,1280.6,1280.57,834366,1068466168.35,12895,582708,69.84,11.5,1282.3,0,Negative,1282.3
90,HDFCBANK,EQ,2016-10-10,1280.6,1285.0,1287.9,1278.75,       1284.60,1284.35,1283.13,1179828,1513870361.05,18299,817723,69.31,9.150000000000091,1284.675,0,Negative,1284.675
91,HDFCBANK,EQ,2016-10-13,1284.35,1279.0,1279.0,1256.45,       1264.60,1262.75,1264.59,1129839,1428779001.65,32564,745661,66.0,22.549999999999955,1270.875,0,Negative,1270.875
92,HDFCBANK,EQ,2016-10-14,1262.75,1265.75,1268.0,1254.0,       1263.45,1261.8,1262.52,1016779,1283699228.3,22831,534887,52.61,14.0,1263.775,0,Negative,1263.775
93,HDFCBANK,EQ,2016-10-17,1261.8,1265.5,1266.4,1232.75,       1239.05,1237.7,1240.43,1283840,1592516894.8,40697,690840,53.81,33.65000000000009,1251.6,0,Negative,1251.6
94,HDFCBANK,EQ,2016-10-18,1237.7,1243.2,1260.0,1239.0,       1255.30,1257.85,1249.52,652742,815616206.55,21674,330809,50.68,21.0,1250.525,0,Positive,14.649999999999864
95,HDFCBANK,EQ,2016-10-19,1257.85,1261.1,1263.0,1248.0,       1257.65,1258.35,1256.12,761226,956189367.45,15551,414858,54.5,15.0,1259.725,0,Negative,1259.725
96,HDFCBANK,EQ,2016-10-20,1258.35,1260.25,1267.45,1251.0,       1258.75,1255.5,1256.82,800089,1005570810.05,20540,392105,49.01,16.450000000000045,1257.875,0,Negative,1257.875
97,HDFCBANK,EQ,2016-10-21,1255.5,1256.0,1272.95,1250.0,       1269.00,1270.7,1262.49,989102,1248736024.7,30754,730276,73.83,22.950000000000045,1263.35,0,Positive,14.700000000000045
98,HDFCBANK,EQ,2016-10-24,1270.7,1271.75,1276.85,1261.05,       1265.00,1263.55,1268.36,813916,1032337097.05,15193,417403,51.28,15.799999999999955,1267.65,0,Negative,1267.65
99,HDFCBANK,EQ,2016-10-25,1263.55,1268.0,1268.0,1244.05,       1247.55,1250.3,1253.22,1375449,1723734478.35,31031,457737,33.28,23.950000000000045,1259.15,0,Negative,1259.15
100,HDFCBANK,EQ,2016-10-26,1250.3,1243.35,1265.0,1235.05,       1244.95,1239.3,1243.37,1341635,1668150326.0,27179,836559,62.35,29.950000000000045,1241.3249999999998,0,Negative,1241.3249999999998
101,HDFCBANK,EQ,2016-10-27,1239.3,1239.0,1257.0,1224.15,       1249.00,1252.1,1239.38,2905965,3601587620.45,32769,1795031,61.77,32.84999999999991,1245.55,0,Positive,13.099999999999909
102,HDFCBANK,EQ,2016-10-28,1252.1,1254.5,1261.9,1240.1,       1259.00,1259.05,1255.19,1330134,1669576079.95,17769,912089,68.57,21.800000000000182,1256.775,0,Positive,4.5499999999999545
103,HDFCBANK,EQ,2016-10-30,1259.05,1263.3,1263.3,1250.0,       1251.85,1253.3,1255.81,191554,240555192.7,5456,104344,54.47,13.299999999999955,1258.3,0,Negative,1258.3
104,HDFCBANK,EQ,2016-11-01,1253.3,1256.0,1263.85,1247.05,       1260.00,1259.8,1258.64,850604,1070608085.2,18123,550346,64.7,16.799999999999955,1257.9,0,Positive,3.7999999999999545
105,HDFCBANK,EQ,2016-11-02,1259.8,1251.1,1255.7,1241.5,       1246.90,1246.15,1250.99,1618608,2024856979.05,33950,1098455,67.86,14.200000000000045,1248.625,0,Negative,1248.625
106,HDFCBANK,EQ,2016-11-03,1246.15,1245.0,1260.0,1231.75,       1253.00,1254.95,1252.72,1578953,1977982866.05,39774,1205805,76.37,28.25,1249.975,0,Positive,9.950000000000045
107,HDFCBANK,EQ,2016-11-04,1254.95,1252.8,1252.8,1241.75,       1242.90,1243.7,1247.18,1433730,1788123264.7,29700,1047005,73.03,11.049999999999955,1248.25,0,Negative,1248.25
