,Date,Open Price,High Price,Low Price,Close Price,SMA50,SMA5,SMA10,SMA20,SMA100,SMA200
176,736349.0,1236.0,1245.0,1230.0,1236.35,1201.9719999999998,1240.2800000000007,1231.2450000000003,1211.1575,1237.6025000000002,
177,736352.0,1236.0,1250.0,1235.8,1244.65,1201.3489999999997,1239.6800000000007,1236.19,1214.64,1237.6680000000001,
178,736353.0,1250.0,1271.5,1249.25,1267.55,1201.6049999999998,1245.4900000000007,1241.51,1218.7575000000002,1237.6570000000002,
179,736354.0,1272.6,1295.6,1270.1,1290.6,1202.5299999999997,1255.0900000000006,1247.17,1223.95,1237.6510000000003,
181,736356.0,1299.0,1300.0,1288.0,1291.9,1203.764,1266.2100000000005,1252.8600000000001,1228.285,1237.7330000000004,
182,736359.0,1292.95,1292.95,1280.55,1284.95,1205.2349999999997,1275.9300000000003,1258.105,1232.2225,1237.7315000000003,
183,736360.0,1282.4,1292.7,1277.0,1286.65,1206.9939999999997,1284.3300000000004,1262.005,1236.7000000000003,1237.5940000000003,
184,736361.0,1286.2,1310.0,1280.5,1305.7,1209.1469999999997,1291.9600000000003,1268.7250000000001,1242.4900000000002,1237.7835000000002,
185,736362.0,1305.7,1305.7,1292.6,1298.7,1211.4259999999997,1293.5800000000004,1274.3350000000003,1248.15,1237.8765000000003,
186,736363.0,1299.0,1316.0,1296.5,1311.05,1214.3369999999998,1297.4100000000003,1281.8100000000002,1254.3925000000002,1238.0830000000003,
188,736366.0,1312.3,1320.0,1311.45,1314.1,1216.8329999999996,1303.2400000000002,1289.5850000000003,1260.415,1238.4250000000004,
190,736367.0,1316.0,1318.0,1302.95,1307.15,1219.2869999999996,1307.3400000000006,1295.8350000000003,1266.0125,1238.8020000000004,
192,736368.0,1307.55,1318.7,1298.15,1305.65,1221.8249999999998,1307.3300000000004,1299.6450000000002,1270.5775,1239.0625000000002,
193,736369.0,1309.4,1319.9,1292.55,1297.65,1223.7859999999998,1307.1200000000006,1300.3500000000001,1273.7600000000002,1239.0605000000003,
194,736370.0,1298.35,1308.75,1298.0,1303.6,1225.9129999999998,1305.6300000000006,1301.5200000000002,1277.19,1239.1950000000004,
195,736373.0,1307.55,1315.0,1299.2,1310.2,1228.3349999999998,1304.8500000000004,1304.0450000000003,1281.0750000000003,1239.4125000000004,
196,736374.0,1314.0,1314.0,1304.0,1311.1,1230.6299999999997,1305.6400000000006,1306.4900000000002,1284.2475,1239.5935000000004,
197,736375.0,1312.0,1324.0,1307.45,1322.2,1233.1849999999997,1308.9500000000003,1308.1400000000003,1288.4325000000001,1239.7465000000004,
198,736376.0,1323.0,1333.0,1320.25,1327.9,1236.1109999999999,1315.0000000000005,1311.0600000000002,1292.6975000000002,1239.8985000000002,
199,736377.0,1445.0,1454.0,1360.45,1377.05,1239.6619999999998,1329.6900000000005,1317.6600000000003,1299.7350000000001,1240.7075000000004,
201,736380.0,1361.2,1415.45,1359.15,1409.1,1243.8779999999997,1349.4700000000007,1327.1600000000003,1308.3725000000002,1241.8180000000004,
203,736381.0,1406.05,1421.8,1397.4,1415.55,1248.4999999999998,1370.3600000000006,1338.0000000000002,1316.9175,1243.0210000000004,
204,736382.0,1415.0,1418.8,1394.85,1399.15,1252.7579999999998,1385.7500000000005,1347.3500000000001,1323.4975000000002,1244.2375000000004,
206,736383.0,1403.8,1421.35,1387.05,1394.3,1257.13,1399.0300000000007,1357.015,1328.6825000000003,1245.4520000000005,
208,736387.0,1390.9,1398.35,1378.6,1393.6,1261.47,1402.3400000000006,1366.015,1333.7675000000002,1246.5160000000005,
210,736388.0,1392.9,1396.25,1384.5,1390.1,1265.626,1398.5400000000004,1374.005,1339.025,1247.5215000000005,
212,736389.0,1396.45,1396.5,1386.4,1391.65,1269.924,1393.7600000000004,1382.06,1344.275,1248.5770000000005,
213,736390.0,1394.55,1396.0,1376.25,1380.1,1273.888,1389.9500000000003,1387.85,1347.995,1249.5585000000005,
214,736391.0,1384.5,1384.5,1369.0,1377.0,1277.828,1386.4900000000002,1392.76,1351.9099999999999,1250.5225000000005,
215,736394.0,1376.8,1389.9,1373.1,1380.75,1281.981,1383.92,1393.13,1355.395,1251.4865000000004,
216,736395.0,1382.25,1387.5,1376.2,1386.2,1285.9799999999998,1383.14,1390.8400000000001,1359.0,1252.7210000000005,
217,736396.0,1387.9,1399.2,1381.05,1392.2,1290.3239999999998,1383.2500000000005,1388.5050000000003,1363.2525,1254.0250000000003,
219,736397.0,1381.65,1398.7,1381.65,1394.2,1294.504,1386.0700000000004,1388.0100000000004,1367.6799999999998,1255.5900000000004,
221,736398.0,1395.0,1408.0,1393.15,1400.1,1298.771,1390.6900000000005,1388.5900000000006,1372.8024999999998,1257.0125000000003,
223,736402.0,1422.1,1424.15,1406.65,1410.7,1302.881,1396.6800000000007,1390.3000000000006,1378.1574999999998,1258.5360000000003,
